"Model_Name","Intensity_ID","Fidelity_ID","AIC","BIC","Beta_Interaction","SE_Interaction","P_Interaction","Beta_Intensity","P_Intensity","Beta_Fidelity","P_Fidelity"
"Int_1_x_Fid_1",1,1,7724.37286574051,7757.57699449982,-0.0501074846224155,0.0274432684281104,0.0678718000102693,-0.0440044198088704,0.104309456986899,0.131382771021196,1.63119346976513e-06
"Int_4_x_Fid_1",4,1,7726.18468768173,7759.38881644104,-0.0457567717345205,0.027631632333383,0.0977306975253478,-0.0321900189076486,0.234452174388722,0.130552017898863,1.88108808717582e-06
"Int_3_x_Fid_1",3,1,7726.74225116872,7759.94637992803,-0.0456372419744982,0.0276970055222854,0.0994076808408482,0.0263261338031119,0.331016760079195,0.131611240766742,1.55487596419291e-06
"Int_2_x_Fid_1",2,1,7728.89138929993,7762.09551805924,0.0239023249401608,0.0273005986364433,0.381288944695129,-0.0233516514521061,0.38788885711611,0.131326431187106,1.60595314004503e-06
"Int_5_x_Fid_1",5,1,7729.65558873957,7762.85971749888,-0.0222999068971259,0.02757476523275,0.418683675129265,-0.00779898420248452,0.773042565198983,0.131367840593305,1.60383787740071e-06
"Int_1_x_Fid_2",1,2,7733.02692575709,7766.23105451639,0.000802203560701228,0.0260939710884362,0.975474601998116,-0.0446266216448162,0.098837063886094,0.114908482231589,2.64369687707115e-05
"Int_2_x_Fid_2",2,2,7733.28031858957,7766.48444734888,0.0353914739305411,0.0260108583703632,0.173626759856464,-0.0221645280975873,0.412647318464441,0.113687793304265,3.2378431937106e-05
"Int_4_x_Fid_2",4,2,7733.59099604517,7766.79512480448,0.0207669039862835,0.0273395600251121,0.447498657679077,-0.0341590942870591,0.206389820632562,0.115042998554579,2.58176671334698e-05
"Int_3_x_Fid_2",3,2,7734.61337067389,7767.8174994332,0.018145957389247,0.0265675284622306,0.494598864107563,0.0221326791643154,0.413205273457791,0.113969593180491,3.08494188995545e-05
"Int_5_x_Fid_2",5,2,7735.55870785344,7768.76283661275,0.00639635939832903,0.026222586039804,0.807288460743346,-0.0101929874768448,0.706118534945108,0.114939580909442,2.6224434874701e-05
"Int_1_x_Fid_4",1,4,7737.51651910793,7770.72064786723,0.00326787788223099,0.0270933262016503,0.90399550951774,-0.0424434903006592,0.116357515570669,0.0988569800746397,0.0002779850727734
"Int_4_x_Fid_4",4,4,7737.66790714143,7770.87203590074,0.02558448205318,0.0278414530981445,0.358129640250965,-0.0327064006469909,0.226198423711504,0.100140545429443,0.000232780738926222
"Int_3_x_Fid_4",3,4,7738.46664583359,7771.67077459289,0.0211476164522701,0.02676856283371,0.429517911211558,0.025559557771622,0.344272256284577,0.0999001520962427,0.000238910550211833
"Int_1_x_Fid_3",1,3,7738.80843465591,7772.01256341522,0.0107592973452615,0.027124158755693,0.69161198684575,-0.0425929432033501,0.115093709310734,0.0939358469327826,0.000572888349023447
"Int_2_x_Fid_4",2,4,7739.14564386566,7772.34977262496,-0.0139244040762937,0.0274096259734008,0.611445307200924,-0.021049724429244,0.435808208295302,0.0993258730557021,0.000258777153559014
"Int_5_x_Fid_4",5,4,7739.76462721763,7772.96875597694,0.0108520952426449,0.0273238672129365,0.691245479160175,-0.00767622581737891,0.776263582556821,0.0995424453516972,0.000251078170998216
"Int_4_x_Fid_3",4,3,7739.89516980882,7773.09929856812,-0.000243757208782053,0.0270879991865072,0.992820160422442,-0.033774297356869,0.211524449905048,0.0942853875770062,0.000544750919266379
"Int_3_x_Fid_3",3,3,7739.97455468917,7773.17868344848,-0.0207926022181324,0.0265029726582843,0.432724204771966,0.0251457631523574,0.35213157256001,0.0942717624815482,0.000541824606425589
"Int_2_x_Fid_3",2,3,7740.42391943819,7773.6280481975,0.0172160245831913,0.0269001829886937,0.522174835646013,-0.0209294746336941,0.438604482944249,0.0941490973796168,0.000550751998156944
"Int_5_x_Fid_3",5,3,7741.28133009552,7774.48545885483,0.00479504295345367,0.0266947110719778,0.85744681565183,-0.0101356904978878,0.707545201816534,0.0944216162234212,0.0005304947769172
